Rank	Player	Pos	Us_Pos	ECR_Pos	ESPN_Pos	Tier	Team	Bye	Age	Exp	Ht	Wt	40yd	OurValue$	vsECR	ProjPts	2025Pts	2025Gms	ECR	ECR_Best	ECR_Worst	ESPN_Rank	ESPN_ADP	Rostered%	SleeperBuzz	Depth	Latest News	NewsURL
200	Drew Allar	QB	QB39	QB39	QB46	QB-T9	PIT	9	22.5	R	6'5"	228		1	134	64.6			334.0	326	342	1223	169.9	2			Aaron Rodgers is in a four-quarterback room for the first time (rss:yahoo)	https://sports.yahoo.com/articles/aaron-rodgers-four-quarterback-room-233606549.html
201	Keenan Allen	WR	WR73	WR73	WR67	WR-T12	IND	13	34.3	14	6'2"	211	4.58	1	-7	63.7	101.7	17	193.66	100	303	212	165.4	24			Laquon Treadwell decides not to give No. 13 to Keenan Allen (rss:pft)	https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/laquon-treadwell-decides-not-to-give-no-13-to-keenan-allen
202	Brian Robinson Jr.	RB	RB56	RB56	RB48	RB-T11	ATL	11	27.4	3	6'1"	225	4.53	1	-25	63.2	54.5	17	177.08	134	243	182	167.8	37				
203	Jaylin Noel	WR	WR74	WR74	WR71	WR-T12	HOU	8	24.0	2	5'11"	200	4.39	1	-3	62.4	42.4	17	200.36	140	319	219	171.8	7				
204	Greg Dulcich	TE	TE23	TE23	TE28	TE-T9	MIA	6	26.4	5	6'4"	245	4.69	1	4	62.4	36.8	9	208.5	131	306	366	170.5	14				
205	Jake Browning	QB	QB40	QB40		QB-T9	TB	10	30.4	4	6'2"	210	4.74	1	138	61.9	48.7	5	343.0	308	378			1				
206	MarShawn Lloyd	RB	RB57	RB57	RB35	RB-T11	GB	11	25.7	3	5'9"	220	4.46	1	-27	61.3			179.03	118	327	131	122.9	32	ADD			
207	Calvin Ridley	WR	WR75	WR75	WR61	WR-T12	TEN	9	31.7	8	6'1"	190	4.43	1	-5	61.2	30.3	7	202.32	133	312	187	168.5	13				
208	Caleb Douglas	WR	WR76	WR76	WR63	WR-T12	MIA	6	23.0	R	6'4"	205	4.39	1	3	60.4			211.13	115	341	190	170.8	9	ADD			
209	Tank Dell	WR	WR77	WR77	WR99	WR-T12	HOU	8	26.8	4	5'10"	165		1	2	60.0			211.44	136	350	392	164.2	28	ADD			
210	Oronde Gadsden II	TE	TE24	TE24	TE32	TE-T9	LAC	7	23.2	2	6'5"	236		1	2	59.8	82.4	15	211.73	97	295	416	170.2	32	DROP			
211	Troy Franklin	WR	WR78	WR78	WR108	WR-T12	DEN	10	23.6	3	6'3"	187	4.41	1	5	59.2	106.1	17	216.18	142	341	982	170.1	5				
212	Emmett Johnson	RB	RB58	RB58	RB68	RB-T11	KC	5	22.9	R	5'10"	202	4.45	1	-22	59.1			189.73	143	283	340	169.9	20	ADD			
213	Isaac TeSlaa	WR	WR79	WR79	WR93	WR-T12	DET	6	24.5	2	6'4"	214	4.43	1	5	58.2	59.9	14	217.77	165	302	369	170.3	10				
214	Ray Davis	RB	RB59	RB59	RB54	RB-T11	BUF	7	26.8	3	5'8"	211		1	-20	57.8	48.1	17	194.45	145	271	220	171.0	12				
215	Terrance Ferguson	TE	TE25	TE25	TE17	TE-T9	LAR	11	23.5	2	6'5"	252	4.63	1	-2	57.4	41.1	11	212.67	112	281	147	168.6	19				
216	Darnell Mooney	WR	WR80	WR80	WR103	WR-T12	NYG	8	28.8	7	5'11"	180	4.38	1	3	57.0	50.3	15	219.02	163	362	419	170.4	10				
217	Gunnar Helm	TE	TE26	TE26	TE25	TE-T9	TEN	9	24.0	2	6'5"	241	4.84	1	3	56.6	47.7	16	220.43	143	316	311	170.8	9				
218	Cyrus Allen	WR	WR81	WR81	WR106	WR-T12	KC	5	23.6	R	5'11"	180		1	4	56.4			222.38	123	376	980	169.8	11	DROP			
