Rank,Player,Pos,Us_Pos,ECR_Pos,ESPN_Pos,Tier,Team,Bye,Age,Exp,Ht,Wt,40yd,OurValue$,vsECR,ADP,vsADP,Mkt30d,ProjPts,P10,P50,P90,2025Pts,2025Gms,ECR,ECR_Best,ECR_Worst,ESPN_Rank,ESPN_ADP,Rostered%,SleeperBuzz,Depth,Latest News,NewsURL,Eligible
63,Kyren Williams,RB,RB20,RB15,RB17,RB-T5,LAR,11,26,5,5'9",207,4.65,21,-21,29.7,-33,656,141.1,39.9,140.7,242.1,245.3,17,42.04,24,58,38,34.8,99,,,,,RB
64,Rome Odunze,WR,WR27,WR29,WR20,WR-T5,CHI,10,24.2,3,6'3",215,4.45,19,-5,48.1,-16,-457,144.4,53.6,135.8,234.1,124.1,12,58.87,40,91,45,68.5,96,,,,,WR
65,Christian Watson,WR,WR28,WR27,WR33,WR-T5,GB,11,27.3,5,6'4",215,4.36,19,-9,53,-12,264,143.7,56.7,129.8,233.2,114.9,10,55.73,38,88,76,89.2,93,,,,,WR
66,D'Andre Swift,RB,RB21,RB18,RB21,RB-T5,CHI,10,27.6,7,5'8",204,4.48,19,-14,39.9,-26,320,139.5,39,134.5,239.7,211.6,16,52.39,37,77,42,53.6,96,,,,,RB
67,TreVeyon Henderson,RB,RB22,RB25,RB30,RB-T5,NE,11,23.9,2,5'10",202,4.43,19,4,65.2,-2,-828,138.5,37.4,131.5,255.1,188.7,17,70.95,50,93,118,79.3,94,,,Patriots RB Henderson  Seahawks safety Okada out for Super Bowl rematch (rss:espn),https://www.espn.com/nfl/story/_/id/49872328/patriots-henderson-seahawks-okada-ruled-sb-rematch,RB
68,Quinshon Judkins,RB,RB23,RB22,RB18,RB-T5,CLE,11,22.8,2,6'0",221,4.48,18,-7,50,-18,-552,138.2,36.8,135.1,257.4,156.8,14,60.62,43,84,39,47.9,97,,,,,RB
69,Tucker Kraft,TE,TE7,TE6,TE9,TE-T4,GB,11,25.8,4,6'5",259,4.69,16,10,104.5,36,-23,117.7,46.9,115.4,187.5,101.2,8,78.75,32,131,123,91,95,,,,,TE
70,Dak Prescott,QB,QB12,QB10,QB9,QB-T4,DAL,14,33.1,11,6'2",230,4.79,15,8,63.4,-7,71,237.6,83.4,255.6,335.4,313.8,17,77.92,37,108,95,72.1,95,,,Giants' chances of upsetting Cowboys in Week 1 increase after Tyler Smith injury update (rss:yardbarker),https://www.yardbarker.com/nfl/articles/giants_chances_of_upsetting_cowboys_in_week_1_increase_after_tyler_smith_injury_update/s1_13132_44272531,QB
71,Sam LaPorta,TE,TE8,TE8,TE7,TE-T4,DET,6,25.6,4,6'3",245,4.59,15,15,99.8,29,160,116.9,50,110.9,189.8,86.9,9,86.19,55,131,80,75.2,97,,,,,TE
72,Patrick Mahomes II,QB,QB13,QB14,QB15,QB-T4,KC,5,31,10,6'2",225,4.8,14,31,102.9,31,-555,236.2,77,257.2,341.9,285.2,14,103.11,70,142,113,109.6,88,,,,,QB
73,Jared Goff,QB,QB14,QB15,QB18,QB-T5,DET,6,31.9,11,6'4",217,4.82,11,33,97.6,25,226,232.7,77.2,252.3,345.4,297.1,17,105.55,63,132,168,137.9,76,,,,,QB
74,Jonathon Brooks,RB,RB24,RB30,RB28,RB-T6,CAR,5,23.1,3,6'0",207,,11,15,89.2,15,38,128.5,28.4,119.5,225.1,,,88.71,56,182,116,105.6,86,,,,,RB
75,Parker Washington,WR,WR29,WR28,WR34,WR-T6,JAC,7,24.4,4,5'10",204,,10,-16,62.9,-12,487,131.6,50.1,123,217.9,143.7,16,58.52,36,109,77,90.9,92,,,,,WR
76,DJ Moore,WR,WR30,WR25,WR26,WR-T6,BUF,7,29.4,9,6'0",213,4.56,9,-24,45.8,-30,341,130.7,52.7,116.7,226.2,147.2,17,52.35,19,107,53,58.6,96,,,,,WR
77,Wan'Dale Robinson,WR,WR31,WR37,WR47,WR-T6,TEN,9,25.7,5,5'8",185,4.44,8,9,92.9,16,-94,129.3,47,126.5,220.3,171.9,16,85.64,49,128,138,112.1,75,,,,,WR
78,Marvin Harrison Jr.,WR,WR32,WR32,WR31,WR-T7,ARI,14,24.1,3,6'3",220,,7,-9,66,-12,-293,128.3,40.6,125.4,216.4,107.3,12,69.24,40,110,74,79.8,93,,,,,WR
79,DK Metcalf,WR,WR33,WR34,WR30,WR-T7,PIT,9,28.7,8,6'4",229,4.33,7,0,63.6,-15,-414,127.4,41,125.3,213.8,157.7,15,79.37,49,115,73,86.4,92,,,,,WR
80,KC Concepcion,WR,WR34,WR48,WR48,WR-T7,CLE,11,21.9,R,6'0",190,,7,28,113.5,34,309,127.3,43.8,124.4,209.6,,,108.19,71,150,139,148.9,72,,,,,WR
81,Kyler Murray,QB,QB15,QB17,QB16,QB-T6,MIN,6,29.1,8,5'10",207,,6,33,129.1,48,0,224.9,55.4,247.4,341.2,77.8,5,113.74,98,147,162,137.3,69,,,,,QB
82,Makai Lemon,WR,WR35,WR47,WR51,WR-T7,PHI,10,22.2,R,5'11",192,,6,26,122.7,41,-341,126.9,42.3,125.3,213.3,,,108.06,68,180,154,136.2,79,,,,,WR
83,George Kittle,TE,TE9,TE9,TE8,TE-T5,SF,8,32.9,10,6'4",250,4.52,6,15,90.4,7,152,104.9,48.8,102.3,166.9,133,11,97.7,66,144,122,68.9,94,,,George Kittle limited in practice on Tuesday (rss:yahoo),https://sports.yahoo.com/articles/george-kittle-limited-practice-tuesday-013751729.html,TE
84,Michael Wilson,WR,WR36,WR40,WR41,WR-T8,ARI,14,26.5,4,6'2",213,4.58,5,4,73.3,-11,-56,124.7,40.6,120.1,211.1,181.6,17,88.1,55,131,106,105.7,88,,,,,WR
85,Dalton Kincaid,TE,TE10,TE11,TE14,TE-T5,BUF,7,26.9,4,6'3",246,,5,26,145.2,60,388,103.3,44,99.6,166.2,106.6,12,111.01,85,144,136,132.4,87,,,,,TE
86,Dallas Goedert,TE,TE11,TE13,TE10,TE-T5,PHI,10,31.7,9,6'5",256,,5,33,113.8,28,124,102.5,44.8,98.6,173,155.1,15,119.37,85,158,124,101.5,88,,,,,TE
87,Juwan Johnson,TE,TE12,TE15,TE21,TE-T5,NO,8,30,7,6'4",245,4.58,5,41,149,62,206,102.4,50.4,99.7,166.7,141.4,17,127.67,87,173,262,157,49,,,,,TE
88,Matthew Stafford,QB,QB16,QB16,QB12,QB-T7,LAR,11,38.6,18,6'3",214,4.81,4,18,72.7,-15,-538,223.2,65,247.3,338.8,350.4,17,105.93,74,129,102,93.6,93,,,,,QB
89,Mike Evans,WR,WR37,WR30,WR35,WR-T8,SF,8,33,13,6'5",231,4.53,4,-29,55.5,-33,-612,123.1,40.8,121.2,205.6,69.8,8,59.7,36,109,87,83.4,93,,,,,WR
90,Brian Thomas Jr.,WR,WR38,WR35,WR37,WR-T9,JAC,7,23.9,3,6'2",209,4.33,3,-9,68.8,-21,-668,122.6,36.6,120.7,211.2,114.8,14,81.16,51,126,89,113.3,90,,,,,WR
91,De'Zhaun Stribling,WR,WR39,WR49,WR40,WR-T9,SF,8,23.7,R,6'2",207,,3,30,124.6,34,309,122.3,34.2,123.4,215.5,,,121.47,62,303,92,137.8,67,,,,,WR
92,Brandon Aubrey,K,K1,K1,K1,K-T1,DAL,14,31.5,4,6'3",218,,2,94,129,37,,130.5,91.5,132.7,170.2,0.6,17,185.55,137,192,240,81.6,100,,,,,K
93,Ka'imi Fairbairn,K,K2,K2,K5,K-T1,HOU,8,32.6,11,6'0",183,4.96,2,99,128,35,,128.8,87.1,132.7,168.8,0,15,192.36,136,211,246,124.1,96,,,,,K
94,Cam Little,K,K3,K4,K8,K-T1,JAC,7,23,3,6'1",172,,2,104,156.4,62,,125.4,76,128.3,166.7,0,17,198.39,168,236,250,141,93,,,,,K
95,Cameron Dicker,K,K4,K3,K2,K-T1,LAC,7,26.3,5,6'1",216,,2,100,139.4,44,,125.4,75.8,130.8,167.1,0,17,194.55,151,333,241,110.3,98,,,,,K
96,Jason Myers,K,K5,K5,K3,K-T1,SEA,11,35.3,12,5'10",190,,2,104,125.1,29,,123.7,71,131.9,168.5,0,17,200.45,171,253,242,113.1,98,,,,,K
97,Chris Godwin Jr.,WR,WR40,WR33,WR52,WR-T10,TB,10,30.5,10,6'1",209,4.42,2,-23,78.4,-19,104,121,36.8,115.8,213.5,66.5,9,74.37,45,123,155,125.7,84,,,,,WR
98,Eddy Pineiro,K,K6,K6,K6,K-T1,SF,8,31,9,5'11",190,,2,111,,,,120.8,70.1,128.3,160.6,0,14,209.07,173,253,248,143.1,61,,,,,K
99,Tyler Loop,K,K7,K7,K10,K-T1,BAL,13,25.1,2,5'11",191,,2,114,162.3,63,,118.6,67.9,126.2,156.4,0,17,212.52,181,328,255,165.6,59,,,,,K
100,Evan McPherson,K,K8,K8,K15,K-T1,CIN,6,27.1,6,5'11",185,,2,117,164.9,65,,118.5,71.3,122.8,159,0,17,217.15,175,333,362,169.3,42,,,,,K
101,HOU D/ST,DST,DST1,DST1,,DST-T1,HOU,8,,,,,,2,53,,,,118.2,78.6,114.2,170.5,,,153.67,143,175,,,98,,,,,DST
102,Cairo Santos,K,K9,K9,K11,K-T1,CHI,10,34.8,13,5'8",173,4.76,2,117,160.2,58,,116.6,66.8,125.2,154.9,0,15,218.57,193,333,256,168.8,29,,,,,K
103,Jake Bates,K,K10,K10,K9,K-T1,DET,6,27.5,3,5'10",205,,2,118,146.5,44,,116.6,67.9,127.2,156.3,0,17,220.72,192,282,252,156.7,72,,,,,K
104,DEN D/ST,DST,DST2,DST2,,DST-T1,DEN,10,,,,,,2,60,,,,115.9,78.1,114.8,160.6,,,164.44,149,209,,,98,,,,,DST
105,LAR D/ST,DST,DST3,DST3,,DST-T1,LAR,11,,,,,,2,60,,,,114.1,73.4,112.3,159.9,,,164.96,145,186,,,88,,,,,DST
106,PHI D/ST,DST,DST4,DST5,,DST-T1,PHI,10,,,,,,2,69,,,,111.2,67.8,109.7,156.7,,,175.18,156,235,,,87,,,,,DST
107,SEA D/ST,DST,DST5,DST4,,DST-T1,SEA,11,,,,,,2,60,,,,111.2,67.8,107.1,152.9,,,167.18,151,194,,,97,,,,,DST
108,MIN D/ST,DST,DST6,DST6,,DST-T1,MIN,6,,,,,,2,79,,,,110,65.5,106.9,152.6,,,186.53,162,251,,,67,,,,,DST
109,PIT D/ST,DST,DST7,DST7,,DST-T1,PIT,9,,,,,,2,78,,,,109.8,65.3,104,162.8,,,186.75,164,224,,,73,,,,,DST
110,BAL D/ST,DST,DST8,DST11,,DST-T1,BAL,13,,,,,,2,87,,,,109,64.1,103,159.9,,,196.77,171,280,,,63,,,,,DST
111,JAC D/ST,DST,DST9,DST9,,DST-T1,JAC,7,,,,,,2,78,,,,109,63.5,106.2,160.8,,,188.99,153,279,,,76,,,,,DST
112,LAC D/ST,DST,DST10,DST10,,DST-T1,LAC,7,,,,,,2,80,,,,109,63.1,103.3,161.1,,,191.65,171,280,,,51,,,,,DST
113,NE D/ST,DST,DST11,DST8,,DST-T1,NE,11,,,,,,2,74,,,,109,63.1,105.6,160.5,,,187.17,161,356,,,85,,,,,DST
114,GB D/ST,DST,DST12,DST12,,DST-T1,GB,11,,,,,,2,93,,,,108.4,62.8,105.9,153.3,,,207.26,183,280,,,28,,,,,DST
115,KC D/ST,DST,DST13,DST13,,DST-T1,KC,5,,,,,,2,95,,,,104.7,62.9,101.5,146.5,,,209.61,183,280,,,20,,,,,DST
116,Travis Kelce,TE,TE13,TE10,TE11,TE-T6,KC,5,36.9,14,6'5",250,4.63,2,-18,129.6,14,-272,99.3,39.5,91.8,169.8,155.2,17,98.18,57,138,125,93.7,93,,,,,TE
